Ngày,Mã tỉnh,Tên tỉnh,Mã phường,Tên phường,Số ca chuyển tuyến,Số ca vượt tuyến,Lượt điều trị,Lượt tái khám,Lượt KCB BHYT,Số ca mắc mới
02/07/2025,75,Đồng Nai,26029,Phường Thống Nhất,0.0,0.0,15.0,1.0,15.0,0.0
02/07/2025,75,Đồng Nai,26050,Phường An Bình,0.0,0.0,45.0,0.0,45.0,0.0
02/07/2025,75,Đồng Nai,26056,Phường Long Bình Tân,0.0,0.0,89.0,0.0,89.0,0.0
02/07/2025,75,Đồng Nai,26068,Phường Hóa An,0.0,0.0,322.0,0.0,302.0,0.0
02/07/2025,75,Đồng Nai,26095,Phường Suối Tre,0.0,0.0,1161.0,0.0,1161.0,0.0
02/07/2025,75,Đồng Nai,26116,Thị Trấn Tân Phú,0.0,0.0,387.0,0.0,387.0,0.0
02/07/2025,75,Đồng Nai,26188,Xã Thạnh Phú,0.0,0.0,3.0,0.0,3.0,0.0
02/07/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,0.0,0.0,796.0,0.0,796.0,0.0
02/07/2025,75,Đồng Nai,26272,Xã Hố Nai 3,7.0,0.0,1114.0,0.0,1114.0,0.0
02/07/2025,75,Đồng Nai,26275,Xã Tây Hoà,2.0,0.0,112.0,0.0,112.0,0.0
02/07/2025,75,Đồng Nai,26296,Xã An Viễn,0.0,0.0,90.0,0.0,90.0,0.0
02/07/2025,75,Đồng Nai,26299,Xã Gia Tân 1,1.0,0.0,52.0,0.0,52.0,0.0
02/07/2025,75,Đồng Nai,26311,Xã Quang Trung,0.0,0.0,147.0,0.0,147.0,0.0
02/07/2025,75,Đồng Nai,26317,Xã Hưng Lộc,1.0,0.0,81.0,0.0,81.0,0.0
02/07/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,0.0,0.0,18.0,0.0,18.0,0.0
02/07/2025,75,Đồng Nai,26362,Xã Sông Ray,4.0,0.0,165.0,0.0,165.0,0.0
02/07/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,0.0,0.0,516.0,0.0,516.0,0.0
02/07/2025,75,Đồng Nai,26374,Phường Tam Phước,0.0,0.0,13.0,0.0,13.0,0.0
02/07/2025,75,Đồng Nai,26377,Phường Phước Tân,0.0,0.0,33.0,0.0,33.0,0.0
02/07/2025,75,Đồng Nai,26416,Xã Phước Bình,0.0,0.0,18.0,0.0,18.0,0.0
02/07/2025,75,Đồng Nai,26452,Xã Suối Cát,0.0,0.0,599.0,42.0,599.0,0.0
02/07/2025,75,Đồng Nai,26455,Xã Xuân Hiệp,0.0,0.0,338.0,0.0,338.0,0.0
02/07/2025,75,Đồng Nai,26497,Xã Vĩnh Thanh,0.0,0.0,48.0,0.0,48.0,0.0
02/08/2024,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,1.0,0.0,1.0,1.0
02/08/2025,75,Đồng Nai,25993,Phường Trảng Dài,0.0,0.0,4.0,0.0,4.0,0.0
02/08/2025,75,Đồng Nai,25996,Phường Tân Phong,0.0,0.0,415.0,0.0,0.0,0.0
02/08/2025,75,Đồng Nai,26017,Phường Tam Hiệp,0.0,0.0,80.0,1.0,80.0,0.0
